(-346.41,-0.00)
(-288.68,33.33)
(-288.68,100.00)
(-230.94,66.67)
(-173.21,100.00)
(-173.21,166.67)
(-230.94,200.00)
(-173.21,233.33)
(-173.21,300.00)
(-115.47,266.67)
(-57.74,300.00)
(-57.74,233.33)
(-0.00,200.00)
(57.74,233.33)
(57.74,300.00)
(115.47,266.67)
(173.21,300.00)
(173.21,233.33)
(230.94,200.00)
(173.21,166.67)
(173.21,100.00)
(230.94,66.67)
(288.68,100.00)
(288.68,33.33)
(346.41,0.00)
(288.68,-33.33)
(288.68,-100.00)
(230.94,-66.67)
(173.21,-100.00)
(173.21,-166.67)
(230.94,-200.00)
(173.21,-233.33)
(173.21,-300.00)
(115.47,-266.67)
(57.74,-300.00)
(57.74,-233.33)
(-0.00,-200.00)
(-57.74,-233.33)
(-57.74,-300.00)
(-115.47,-266.67)
(-173.21,-300.00)
(-173.21,-233.33)
(-230.94,-200.00)
(-173.21,-166.67)
(-173.21,-100.00)
(-230.94,-66.67)
(-288.68,-100.00)
(-288.68,-33.33)
(-346.41,-0.00)
